Temp,Humidity,dB,Hz,Hive
22.2,68.33,39.38,135.74,Treatment 1
22.08,69.83,39.36,141.37,Treatment 1
21.93,71.23,39.37,135.88,Treatment 1
21.81,71.43,39.35,135.81,Treatment 1
21.61,72.18,39.35,133.41,Treatment 1
21.35,74.2,39.34,131.77,Treatment 1
20.69,75.95,39.35,128.72,Treatment 1
20.3,76.34,39.33,136.12,Treatment 1
20,77.12,39.33,135.53,Treatment 1
19.68,77.89,39.33,135.17,Treatment 1
19.4,78.99,39.35,132.42,Treatment 1
19.27,80.12,39.35,130.35,Treatment 1
19.46,80.19,39.34,136.52,Treatment 1
20.17,79.06,39.37,132.03,Treatment 1
19.43,81.23,39.38,139.8,Treatment 1
19.92,80.89,39.4,134.36,Treatment 1
22.77,77.7,39.41,127.3,Treatment 1
26.23,73.21,39.4,130.3,Treatment 1
30.62,66.62,39.4,131.07,Treatment 1
33.21,59.54,39.4,126.28,Treatment 1
35.37,54.17,39.41,128.74,Treatment 1
37.42,50.25,39.39,126.09,Treatment 1
38.22,46.49,39.4,129.8,Treatment 1
37.69,42.51,39.42,145.34,Treatment 1
36.54,44.69,39.36,141.63,Treatment 1
34.36,46.35,39.4,140.3,Treatment 1
31.48,51.77,39.35,137.16,Treatment 1
28.28,58.92,39.36,132.72,Treatment 1
26.74,64.31,39.35,130.79,Treatment 1
25.94,64.96,39.36,127.93,Treatment 1
25.05,66.79,39.35,131.08,Treatment 1
24.38,70.27,39.35,136.9,Treatment 1
23.79,73.66,39.35,148.15,Treatment 1
23.61,74.27,39.36,146.34,Treatment 1
23.29,75.01,39.37,151.48,Treatment 1
22.88,75.77,39.36,140.95,Treatment 1
22.41,76.6,39.37,135.33,Treatment 1
22.1,77.3,39.36,136.04,Treatment 1
22.01,78.23,39.39,141.65,Treatment 1
22.98,78.05,39.4,132.97,Treatment 1
24.95,75.15,39.41,134.28,Treatment 1
28.07,70.71,39.41,129.63,Treatment 1
30.89,63.16,39.43,131.79,Treatment 1
33.07,59.22,39.45,130.63,Treatment 1
35.98,52.81,39.43,129.9,Treatment 1
36.82,48.73,39.42,128.58,Treatment 1
36.77,45.78,39.41,130.91,Treatment 1
36.4,46.1,39.41,130.8,Treatment 1
35.93,44.61,39.42,138.35,Treatment 1
34.45,46.4,39.38,134.27,Treatment 1
32.41,49.29,39.52,206.71,Treatment 1
30.56,51.67,39.41,124.44,Treatment 1
29.45,54.72,39.41,121.09,Treatment 1
27.85,62.55,39.4,130.5,Treatment 1
26.02,66.53,39.39,123.05,Treatment 1
25.69,68.31,39.39,127.44,Treatment 1
25.61,69.88,39.39,125,Treatment 1
25.32,72.01,39.37,128.91,Treatment 1
25.29,72.43,39.37,136.6,Treatment 1
25.27,72.81,39.37,128.2,Treatment 1
25.05,73.55,39.38,124.72,Treatment 1
24.78,74.3,39.38,145.18,Treatment 1
24.61,74.48,39.4,123.44,Treatment 1
24.76,75.39,39.41,125.09,Treatment 1
25.69,75.47,39.42,125.14,Treatment 1
26.83,74.51,39.41,126.3,Treatment 1
30.05,68.09,39.4,130.76,Treatment 1
32.63,60.2,39.41,141.1,Treatment 1
33.54,57.09,39.41,139.06,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
,,,,Treatment 1
32.39,43.99,39.46,145.82,Treatment 1
32.2,44.47,39.49,153.2,Treatment 1
31.96,45.21,39.43,145.88,Treatment 1
31.83,44.58,39.43,155.64,Treatment 1
31.66,43.6,39.41,145.42,Treatment 1
30.74,50.77,39.35,150.01,Treatment 1
29.02,55.53,39.37,153.52,Treatment 1
27.87,57.7,39.37,153.85,Treatment 1
27.48,57.65,39.37,159.69,Treatment 1
27.53,60.5,39.44,160.18,Treatment 1
27.5,61.38,39.52,156.77,Treatment 1
27.35,65.39,39.46,157.24,Treatment 1
27.28,66.9,39.41,159.93,Treatment 1
27.35,64.94,39.4,156.86,Treatment 1
27.02,64.08,39.42,157.84,Treatment 1
26.6,64.5,39.43,145.89,Treatment 1
26.42,63.64,39.43,144.9,Treatment 1
26.32,68.5,39.45,149.8,Treatment 1
26.41,70.29,39.47,145.16,Treatment 1
27.13,64.24,39.5,146.58,Treatment 1
28.27,58.88,39.5,147.05,Treatment 1
30.09,54.68,39.49,134.96,Treatment 1
33.19,45.41,39.48,135.47,Treatment 1
34.69,38.22,39.47,136.54,Treatment 1
34.6,39.02,39.47,134.42,Treatment 1
34.53,38.01,39.46,142.49,Treatment 1
34.5,39.39,39.45,143.84,Treatment 1
34.26,42.69,39.42,139.9,Treatment 1
33.39,40.27,39.41,149.34,Treatment 1
31.52,43.16,39.4,151.47,Treatment 1
28.89,51.18,39.39,146.96,Treatment 1
27.53,55.46,39.41,144.49,Treatment 1
27.47,57.28,39.39,136.38,Treatment 1
28.06,56.64,39.39,145.53,Treatment 1
28.32,54.98,39.39,138.31,Treatment 1
28.53,54.62,39.4,144.03,Treatment 1
27.95,56.25,39.4,144,Treatment 1
27.84,56.92,39.41,147.98,Treatment 1
27.74,57.37,39.4,134.81,Treatment 1
27.44,59.21,39.4,135.09,Treatment 1
27.62,59.27,39.4,140.11,Treatment 1
27.51,61.51,39.4,143.33,Treatment 1
27.76,58.55,39.42,143.58,Treatment 1
28.03,59.75,39.41,144.06,Treatment 1
27.96,59.9,39.41,132.94,Treatment 1
27.67,59.09,39.41,137.37,Treatment 1
27.82,59.04,39.41,143.12,Treatment 1
28.03,59.26,39.42,136.39,Treatment 1
27.99,57.19,39.41,140.89,Treatment 1
27.77,56.44,39.39,140.09,Treatment 1
27.43,57.02,39.41,150.3,Treatment 1
27.13,59.18,39.43,155.72,Treatment 1
26.8,59.18,39.43,157.9,Treatment 1
26.46,59.9,39.5,169.33,Treatment 1
26.19,62.25,39.46,167.71,Treatment 1
26.04,64.66,39.47,159.03,Treatment 1
26,67.45,39.48,163.36,Treatment 1
25.99,67.57,39.45,156.31,Treatment 1
25.84,66.05,39.38,148.52,Treatment 1
25.72,64.77,39.46,172.33,Treatment 1
25.57,68.12,39.38,158.47,Treatment 1
25.42,66.96,39.37,160.61,Treatment 1
25.44,67.27,39.38,154.3,Treatment 1
25.5,67.61,39.38,153.41,Treatment 1
25.49,66.69,39.38,155.3,Treatment 1
25.47,64.99,39.39,146.98,Treatment 1
25.59,66.61,39.4,145.66,Treatment 1
25.84,69.04,39.42,163.32,Treatment 1
25.96,65.89,39.4,164.28,Treatment 1
25.6,66.67,39.4,145.9,Treatment 1
25.49,70.47,39.41,182.24,Treatment 1
25.56,70.51,39.41,143.3,Treatment 1
26.17,68.55,39.42,144.44,Treatment 1
27.02,64.23,39.52,205.59,Treatment 1
27.05,65.07,39.41,145.68,Treatment 1
28.59,60.53,39.4,147.48,Treatment 1
27.55,62.55,39.4,150.73,Treatment 1
26.2,66.6,39.38,153.85,Treatment 1
25.73,69.72,39.36,153.72,Treatment 1
25.39,73.35,39.36,147.31,Treatment 1
25.1,75.89,39.35,151.56,Treatment 1
24.58,76.52,39.37,149.41,Treatment 1
24.66,76.55,39.39,154.85,Treatment 1
25.16,74.04,39.37,147.96,Treatment 1
25.37,71.45,39.38,151.17,Treatment 1
25.39,68.27,39.38,146.82,Treatment 1
25.41,66.4,39.36,153.39,Treatment 1
25.47,67.03,39.39,150.38,Treatment 1
25.41,68.24,39.39,145.54,Treatment 1
25.18,69.39,39.41,149.48,Treatment 1
25.16,72.11,39.41,153.34,Treatment 1
25.1,73.05,39.41,150.36,Treatment 1
25.1,73.07,39.43,144.99,Treatment 1
25.12,73.27,39.44,146.24,Treatment 1
25.21,71.93,39.42,138.7,Treatment 1
25.89,64.65,39.42,144.55,Treatment 1
26.47,59.73,39.41,137.45,Treatment 1
23.9,85.61,38.69,161.13,Treatment 1
24.2,84.58,38.79,155.84,Treatment 1
24.68,85.11,38.8,153.24,Treatment 1
25.05,83.22,38.75,161.98,Treatment 1
25.22,81.27,38.75,153.07,Treatment 1
26,78.42,38.69,154.09,Treatment 1
27.05,72.86,38.92,166,Treatment 1
27.57,71.16,38.82,156.25,Treatment 1
25.09,72.41,38.66,156.51,Treatment 1
23.83,70.1,38.75,166.15,Treatment 1
22.04,70.53,38.87,158.94,Treatment 1
18.23,72.42,38.8,158.24,Treatment 1
14.65,79.36,38.83,167.33,Treatment 1
14.09,85.59,38.66,144.53,Treatment 1
14.33,89.62,38.79,157.17,Treatment 1
14.21,93.2,38.73,162.61,Treatment 1
13.17,96.9,38.89,161.73,Treatment 1
12.79,99.41,38.82,158.77,Treatment 1
12.76,99.9,38.8,156.92,Treatment 1
12.9,99.9,38.95,156.47,Treatment 1
12.75,99.9,38.78,158.42,Treatment 1
13.44,99.9,38.81,154.63,Treatment 1
12.41,99.9,38.73,160.29,Treatment 1
12.08,99.9,38.69,152.83,Treatment 1
